Codigo Producto,Nombre Producto,Nutriente,Valor por 100g,Valor por porcion
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Energía (kCal),43,8.6
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Proteínas (g),1.2,0.2
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Grasas Totales (g),0.1,0
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Grasas Saturadas (g),0,0
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Hidratos de Carbono disponibles (g),9.2,1.8
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Azúcares totales (g),5.9,1.2
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Fibra (g),0.3,0.1
Código: 395904,Salsa de Tomate Malloa Italiana 200 g 6 un.,Sodio (mg),298,59.6
Código: 267564,Spaghetti N°5 Talliani Al Huevo 400 g,Energía (kCal),368,294.4
Código: 267564,Spaghetti N°5 Talliani Al Huevo 400 g,Proteínas (g),13,10.4
Código: 267564,Spaghetti N°5 Talliani Al Huevo 400 g,Grasas Totales (g),3.5,2.8
Código: 267564,Spaghetti N°5 Talliani Al Huevo 400 g,Colesterol (mg),33,26.4
Código: 267564,Spaghetti N°5 Talliani Al Huevo 400 g,Hidratos de Carbono disponibles (g),71,56.8
Código: 267564,Spaghetti N°5 Talliani Al Huevo 400 g,Azúcares totales (g),4,3.2
Código: 267564,Spaghetti N°5 Talliani Al Huevo 400 g,Sodio (mg),20,16
Código: 265765,Espirales Talliani Al Huevo 400 g,Energía (kCal),368,294.4
Código: 265765,Espirales Talliani Al Huevo 400 g,Proteínas (g),13,10.4
Código: 265765,Espirales Talliani Al Huevo 400 g,Grasas Totales (g),3.5,2.8
Código: 265765,Espirales Talliani Al Huevo 400 g,Colesterol (mg),33,26.4
Código: 265765,Espirales Talliani Al Huevo 400 g,Hidratos de Carbono disponibles (g),71,56.8
Código: 265765,Espirales Talliani Al Huevo 400 g,Azúcares totales (g),4,3.2
Código: 265765,Espirales Talliani Al Huevo 400 g,Sodio (mg),20,16
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Energía (kCal),334,267.2
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Proteínas (g),11.6,9.3
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Grasas Totales (g),3.7,3
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Grasas Saturadas (g),1,0.8
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Grasas Monoinsaturadas (g),1,0.8
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Grasas Poliinsaturadas (g),1.4,1.1
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Grasas trans (g),0,0
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Colesterol (mg),33.2,26.6
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Hidratos de Carbono disponibles (g),63.7,51
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Azúcares totales (g),3.8,3
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Fibra (g),3.6,2.9
Código: 267577,Pasta Spaghetti N°5 Trattoria 400 g,Sodio (mg),17,13.6
Código: 267615,Tallarín N°78 Talliani 400 g,Energía (kCal),368,294.4
Código: 267615,Tallarín N°78 Talliani 400 g,Proteínas (g),13,10.4
Código: 267615,Tallarín N°78 Talliani 400 g,Grasas Totales (g),3.5,2.8
Código: 267615,Tallarín N°78 Talliani 400 g,Colesterol (mg),33,26.4
Código: 267615,Tallarín N°78 Talliani 400 g,Hidratos de Carbono disponibles (g),71,56.8
Código: 267615,Tallarín N°78 Talliani 400 g,Azúcares totales (g),4,3.2
Código: 267615,Tallarín N°78 Talliani 400 g,Sodio (mg),20,16
Código: 267217,Rigatti Talliani Al Huevo 400 g,Energía (kCal),368,294.4
Código: 267217,Rigatti Talliani Al Huevo 400 g,Proteínas (g),13,10.4
Código: 267217,Rigatti Talliani Al Huevo 400 g,Grasas Totales (g),3.5,2.8
Código: 267217,Rigatti Talliani Al Huevo 400 g,Colesterol (mg),33,26.4
Código: 267217,Rigatti Talliani Al Huevo 400 g,Hidratos de Carbono disponibles (g),71,56.8
Código: 267217,Rigatti Talliani Al Huevo 400 g,Azúcares totales (g),4,3.2
Código: 267217,Rigatti Talliani Al Huevo 400 g,Sodio (mg),20,16
Código: 1629080,Lasaña Precocida Talliani 360 g,Energía (kCal),338,135.2
Código: 1629080,Lasaña Precocida Talliani 360 g,Proteínas (g),10,4
Código: 1629080,Lasaña Precocida Talliani 360 g,Grasas Totales (g),3,1.2
Código: 1629080,Lasaña Precocida Talliani 360 g,Hidratos de Carbono disponibles (g),70,28
Código: 1629080,Lasaña Precocida Talliani 360 g,Azúcares totales (g),2,0.8
Código: 1629080,Lasaña Precocida Talliani 360 g,Sodio (mg),5,2
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Energía (kCal),338,270.4
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Proteínas (g),11,8.8
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Grasas Totales (g),2,1.6
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Grasas Saturadas (g),0.5,0.4
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Grasas Monoinsaturadas (g),0.3,0.2
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Grasas Poliinsaturadas (g),1.2,1
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Grasas trans (g),0,0
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Colesterol (mg),0,0
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Hidratos de Carbono disponibles (g),69,55.2
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Azúcares totales (g),4,3.2
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Fibra (g),3.9,3.1
Código: 267558,Pasta Spaghetti N°5 Carozzi 400 g,Sodio (mg),5,4
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Energía (kCal),338,270.4
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Proteínas (g),11,8.8
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Grasas Totales (g),2,1.6
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Grasas Saturadas (g),0.5,0.4
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Grasas Monoinsaturadas (g),0.3,0.2
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Grasas Poliinsaturadas (g),1.2,1
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Grasas trans (g),0,0
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Colesterol (mg),0,0
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Hidratos de Carbono disponibles (g),69,55.2
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Azúcares totales (g),4,3.2
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Fibra (g),3.9,3.1
Código: 265760,Pasta Espiral N°49 Carozzi 400 g,Sodio (mg),5,4
Código: 1984578,Lasaña Precocida Carozzi Estuche 330 g,Energía (kCal),338,135.2
Código: 1984578,Lasaña Precocida Carozzi Estuche 330 g,Proteínas (g),11,4.4
Código: 1984578,Lasaña Precocida Carozzi Estuche 330 g,Grasas Totales (g),1,0.4
Código: 1984578,Lasaña Precocida Carozzi Estuche 330 g,Hidratos de Carbono disponibles (g),71.1,28.4
Código: 1984578,Lasaña Precocida Carozzi Estuche 330 g,Azúcares totales (g),4,1.6
Código: 1984578,Lasaña Precocida Carozzi Estuche 330 g,Fibra (g),3.6,1.4
Código: 1984578,Lasaña Precocida Carozzi Estuche 330 g,Sodio (mg),5,2
Código: 1937088,Spaghetti N°5 Talliani Integral 400 g,Energía (kCal),344,275.2
Código: 1937088,Spaghetti N°5 Talliani Integral 400 g,Proteínas (g),12,9.6
Código: 1937088,Spaghetti N°5 Talliani Integral 400 g,Grasas Totales (g),3,2.4
