Codigo Producto,Nombre Producto,Nutriente,Valor por 100g,Valor por porción
Código: 260818,Limón Malla 1 kg,Energía (kCal),29,29
Código: 260818,Limón Malla 1 kg,Proteínas (g),1,1
Código: 260818,Limón Malla 1 kg,Grasas Totales (g),0.3,0.3
Código: 260818,Limón Malla 1 kg,Hidratos de Carbono disponibles (g),53,53
Código: 260818,Limón Malla 1 kg,Azúcares totales (g),2.5,2.5
Código: 260818,Limón Malla 1 kg,Sodio (mg),2,2
Código: 1333653,Champiñón Bandeja 200 g,Energía (kCal),29,58
Código: 1333653,Champiñón Bandeja 200 g,Proteínas (g),4.7,9.4
Código: 1333653,Champiñón Bandeja 200 g,Grasas Totales (g),0.6,1.2
Código: 1333653,Champiñón Bandeja 200 g,Hidratos de Carbono disponibles (g),0.9,1.8
Código: 1333653,Champiñón Bandeja 200 g,Azúcares totales (g),0.5,1
Código: 1333653,Champiñón Bandeja 200 g,Sodio (mg),0,0
Código: 1463041,Lechuga Hidropónica Española 1 un.,Energía (kCal),13,6.5
Código: 1463041,Lechuga Hidropónica Española 1 un.,Proteínas (g),1.35,0.7
Código: 1463041,Lechuga Hidropónica Española 1 un.,Grasas Totales (g),0.22,0.1
Código: 1463041,Lechuga Hidropónica Española 1 un.,Hidratos de Carbono disponibles (g),2.23,1.1
Código: 1463041,Lechuga Hidropónica Española 1 un.,Azúcares totales (g),0.94,0.5
Código: 1463041,Lechuga Hidropónica Española 1 un.,Fibra (g),1.1,0.6
Código: 1463041,Lechuga Hidropónica Española 1 un.,Sodio (mg),5,2.5
Código: 1473035,Zanahoria Bolsa 1 kg,Energía (kCal),41,"29.5,41 / 29.5"
Código: 1473035,Zanahoria Bolsa 1 kg,Proteínas (g),0.93,"0.7,0.93 / 0.7"
Código: 1473035,Zanahoria Bolsa 1 kg,Grasas Totales (g),0.24,"0.2,0.24 / 0.2"
Código: 1473035,Zanahoria Bolsa 1 kg,Hidratos de Carbono disponibles (g),9.58,"6.9,9.58 / 6.9"
Código: 1473035,Zanahoria Bolsa 1 kg,Azúcares totales (g),4.74,"3.4,4.74 / 3.4"
Código: 1473035,Zanahoria Bolsa 1 kg,Fibra (g),2.8,"2,2.8 / 2"
Código: 1473035,Zanahoria Bolsa 1 kg,Sodio (mg),69,"49.7,69 / 49.7"
Código: 261044,Papa Malla 2 kg,Energía (kCal),86.4,129.6
Código: 261044,Papa Malla 2 kg,Proteínas (g),2.46,3.7
Código: 261044,Papa Malla 2 kg,Grasas Totales (g),0.2,0.3
Código: 261044,Papa Malla 2 kg,Hidratos de Carbono disponibles (g),18.8,28.2
Código: 261044,Papa Malla 2 kg,Azúcares totales (g),1,1.5
Código: 261044,Papa Malla 2 kg,Sodio (mg),25,37.5
Código: 506863,Palta Hass Malla 1 kg,Energía (kCal),167,50.1
Código: 506863,Palta Hass Malla 1 kg,Proteínas (g),2,0.6
Código: 506863,Palta Hass Malla 1 kg,Grasas Totales (g),15.4,4.6
Código: 506863,Palta Hass Malla 1 kg,Grasas Saturadas (g),2.1,0.6
Código: 506863,Palta Hass Malla 1 kg,Grasas Monoinsaturadas (g),9.8,2.9
Código: 506863,Palta Hass Malla 1 kg,Grasas Poliinsaturadas (g),1.8,0.5
Código: 506863,Palta Hass Malla 1 kg,Grasas trans (g),0,0
Código: 506863,Palta Hass Malla 1 kg,Colesterol (mg),0,0
Código: 506863,Palta Hass Malla 1 kg,Hidratos de Carbono disponibles (g),1.8,0.5
Código: 506863,Palta Hass Malla 1 kg,Azúcares totales (g),0.3,0.1
Código: 506863,Palta Hass Malla 1 kg,Fibra (g),0.3,0.1
Código: 506863,Palta Hass Malla 1 kg,Sodio (mg),8,2.4
Código: 260574,Cebolla Malla 3 un.,Energía (kCal),40,24
Código: 260574,Cebolla Malla 3 un.,Proteínas (g),1.1,0.7
Código: 260574,Cebolla Malla 3 un.,Grasas Totales (g),0.1,0.1
Código: 260574,Cebolla Malla 3 un.,Hidratos de Carbono disponibles (g),9.34,5.6
Código: 260574,Cebolla Malla 3 un.,Azúcares totales (g),4.24,2.5
Código: 260574,Cebolla Malla 3 un.,Sodio (mg),4,2.4
Código: 1497672,Frutilla Pote 300 g,Energía (kCal),30,30
Código: 1497672,Frutilla Pote 300 g,Proteínas (g),0.7,0.7
Código: 1497672,Frutilla Pote 300 g,Grasas Totales (g),0.1,0.1
Código: 1497672,Frutilla Pote 300 g,Hidratos de Carbono disponibles (g),7.4,7.4
Código: 1497672,Frutilla Pote 300 g,Azúcares totales (g),7.1,7.1
Código: 1497672,Frutilla Pote 300 g,Fibra (g),1.3,1.3
Código: 1497672,Frutilla Pote 300 g,Sodio (mg),0,0
Código: 1497673,Arándanos Pote 125 g,Energía (kCal),59.4,71.3
Código: 1497673,Arándanos Pote 125 g,Proteínas (g),1.6,1.9
Código: 1497673,Arándanos Pote 125 g,Grasas Totales (g),0.2,0.2
Código: 1497673,Arándanos Pote 125 g,Hidratos de Carbono disponibles (g),12.8,15.4
Código: 1497673,Arándanos Pote 125 g,Azúcares totales (g),7.8,9.4
Código: 1497673,Arándanos Pote 125 g,Fibra (g),2.1,2.5
Código: 1497673,Arándanos Pote 125 g,Sodio (mg),0,0
